"SFS.II.V1.V3","1.6.I.V1.V3","2.6.II.V1.V3","2.6.III.V1.V3","3.6.IV.V1.V3","4.6.V.V1.V3","WT.I.V1.V3","WT.II.V1.V3","WT.III.V1.V3","1.5.I.V1.V3","2.5.II.V1.V3","2.5.III.V1.V3","3.5.IV.V1.V3","4.5.V.V1.V3","SFS.I.V3.V5","SFS.II.V3.V5","1.6.I.V3.V5","2.6.II.V3.V5","2.6.III.V3.V5","3.6.IV.V3.V5","4.6.V.V3.V5","WT.I.V3.V5","WT.II.V3.V5","WT.III.V3.V5","1.5.I.V3.V5","2.5.II.V3.V5","2.5.III.V3.V5","3.5.IV.V3.V5","4.5.V.V3.V5"
"1124701",8,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,0
"276586",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1133051",15,3,,1,7,1,,1,4,3,5,7,1,,,,,,,,,,,,,,,,0
"4319263",3,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,0
"4459003",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"30355",1,,,1,,,1,1,6,,1,2,3,,,,,,,,,,,,,,,,0
"143130",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4480701",10,,,1,,,,4,1,,,,,,,,,,,,,,,,,,,,0
"4440611",1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,0
"149419",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"550173",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4371222",1,,,,,,39,35,,2,3,,,,,,,,,,,,,,,,,,0
"2195184",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"210387",8,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0
"355774",1,,,,,1,,,1,2,1,,1,,,,,,,,,,,,,,,,0
"4336276",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"250674",4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"2720386",19,8,3,8,23,20,,5,69,17,7,12,,,,,,,,,,,,,,,,,0
"4302303",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4302302",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1143306",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"90543",2,4,3,13,45,12,,,16,15,7,8,3,10,,,3,1,6,10,4,,,2,,,1,,3
"4440462",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"582754",2,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,0
"4429835",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1806981",107,89,103,174,143,44,5,6,90,88,50,46,76,,,,,,,,,,,,,,,,0
"831516",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4414674",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"256823",11,,,,3,,,,,,,,,,1,,,,,,,,,,1,,,,0
"4388687",4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0
"4420559",1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0
"4358255",1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,0
"1135893",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"146397",60,60,46,56,35,16,1,2,17,25,14,15,11,,,,,,,,,,,,,,,,0
"551647",2,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,0
"113674",2,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1
"214730",9,,,,,,,,1,1,2,,2,1,2,1,,,,1,,,,,,1,,,0
"128192",2,2,1,,,,,,,,,,,,4,6,1,,,,1,,,,,,1,,2
"14962",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"207848",4,1,1,2,2,1,,,1,5,1,1,,,,,,,,,,,,,,,,,0
"4306352",2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"3667535",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"104243",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"249385",3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0
"715993",27,1,1,2,4,3,1,,3,1,1,4,1,,,,,1,1,,1,,,,,,,,0
"1135345",4,,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,0
"814232",2,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,0
"1110227",4,,,,1,,,,1,,,,,,2,2,,,,,,,,,,,,,1
"210951",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1122854",3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0
"1111102",1,,,1,,,,,,,,,,,2,,1,,,,,,,,,,,,0
"141698",1,,,,1,1,,,,3,,1,,,,,,,,,,,,,,,,,0
"523224",48,10,22,11,12,8,,2,6,8,252,20,5,,,,,,,,,,,,,,,,0
"831826",6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0
"144956",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"2631018",5,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,0
"1139405",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4424552",3,13,7,4,18,4,,,9,12,4,3,7,5,,,3,2,,5,5,,,6,2,1,5,1,5
"559612",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0
"4178575",4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"632387",3,5,2,,3,,,1,,,,6,4,,,,,,,,,,,,,,,,0
"4421371",10,1,,1,3,2,,1,7,2,3,4,6,,,,,,,,,,,,,,,,0
"248170",60,,,1,,2,,,1,,,,,1,6,3,,,2,1,,,,1,,,,,2
"4319592",2,,1,,1,1,,,2,,1,,1,,,,,,,,,,,,,,,,0
"148890",53,37,28,32,27,3,,,16,19,9,19,2,,,,,,,,,,,,,,,,0
"4319596",7,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,0
"848392",1,1,5,6,9,1,,,,7,2,,1,1,,,15,6,4,1,13,,,4,1,1,3,,1
"519510",2,2,,,1,,1,,1,1,,2,2,,5,,6,,3,,1,,,5,2,1,,3,1
"3863098",1,,2,,1,2,,,2,,2,,,,,,,1,1,,2,,1,2,3,,,,0
"3621664",4,2,,1,5,4,,,,1,,1,,,,,,,,,,,,,,,,,0
"113609",3,,,,,,,,,,,,,,4,,1,,,,,,,,1,,1,,1
"555283",1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,0
"1147974",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"323791",1,13,33,22,30,19,,,,8,13,6,12,38,,,33,27,15,38,45,6,15,3,33,6,7,13,44
"254256",2,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,0
